days_since,All Cases,Hospitalizations,Deaths
139,8176,673,241
138,8094,669,239
137,7850,636,235
136,7718,613,234
135,7593,603,229
134,7474,583,222
133,7294,581,222
132,7161,577,222
131,7015,573,221
130,6817,551,219
129,6670,536,217
128,6574,520,209
127,6435,512,208
126,6263,508,208
125,6125,507,207
124,5990,507,206
123,5750,490,205
122,5610,478,204
121,5364,477,199
120,5033,470,198
119,4962,464,198
118,4762,456,198
117,4547,450,197
116,4367,443,196
115,4209,431,196
114,3979,423,194
113,3775,416,188
112,3557,412,187
111,3430,408,187
110,3280,406,187
109,3103,401,187
108,2870,397,187
107,2760,393,186
106,2651,386,186
105,2568,381,186
104,2472,381,186
103,2382,379,186
102,2321,378,184
101,2284,372,184
100,2239,370,179
99,2220,365,178
98,2175,364,178
97,2158,362,178
96,2138,361,177
95,2122,361,177
94,2113,358,177
93,2113,357,174
92,2086,357,173
91,2079,357,173
90,2076,357,173
89,2065,355,173
88,2055,354,173
87,2034,352,172
86,2027,351,169
85,2008,351,168
84,2003,350,168
83,1989,350,168
82,1973,349,168
81,1965,347,165
80,1952,345,152
79,1928,344,152
78,1919,340,151
77,1912,340,151
76,1911,340,151
75,1897,340,151
74,1870,336,151
73,1851,331,151
72,1828,324,151
71,1816,319,150
70,1805,319,150
69,1777,318,150
68,1753,317,150
67,1739,314,146
66,1718,313,144
65,1687,310,144
64,1658,304,144
63,1641,294,143
62,1603,292,143
61,1595,292,143
60,1582,290,141
59,1551,285,139
58,1545,283,139
57,1511,274,122
56,1503,273,122
55,1486,273,120
54,1455,259,119
53,1439,254,117
52,1394,247,111
51,1375,244,109
50,1345,238,102
49,1333,237,101
48,1319,236,99
47,1289,234,94
46,1273,228,89
45,1235,222,87
44,1224,213,79
43,1211,213,73
42,1198,211,73
41,1177,208,71
40,1149,204,69
39,1088,196,68
38,1059,188,67
37,1042,180,55
36,1035,180,50
35,1009,178,47
34,947,176,43
33,925,162,38
32,904,146,26
31,893,142,24
30,876,134,21
29,857,130,19
28,836,130,19
27,788,124,18
26,759,117,12
25,720,113,10
24,689,101,6
23,642,92,4
22,605,87,4
21,552,86,3
20,476,78,2
19,419,70,2
18,356,61,2
17,325,51,2
16,290,38,2
15,265,35,2
14,219,31,2
13,158,25,2
12,133,19,2
11,88,13,2
10,58,6,2
9,48,6,1
8,40,5,1
7,31,5,1
6,28,5,0
5,18,4,0
4,13,3,0
3,10,2,0
2,6,1,0
1,2,1,0
0,2,0,0